没戏	没辙	0.69089617
只管	尽管	OOV
GDP	生产力	0.6187171
包袱	段子	0.44996410
由此	通过	OOV
日期	时间	0.6768000
爱面子	好高骛远	0.8166092
严厉	严谨	0.59920577
一方面	一边	OOV
托福	GRE	0.5632054
亏	幸亏	0.3941726
蹩脚	差强人意	0.5448022
容易	顺利	OOV
悲喜	大悲大喜	OOV
老气	土气	0.6926138
狭隘	狭窄	0.61567398
抄袭	克隆	0.24333992
害臊	腼腆	OOV
幻境	红楼梦	0.46527621
依稀	清晰	0.70863497
权限	权力	0.7536238
伟大	壮烈	OOV
娇艳	幽美	0.6251888
理解	理会	0.6075744
酣睡	打鼾	0.733778
自然	环境	0.6493347
振兴	建设	0.450637
节日	假日	0.6900121
的哥	司机	0.17430985
几乎	差点儿	OOV
江湖	红尘	0.578233
路子	后门	0.5433156
牛脾气	我行我素	OOV
物品	物质	0.5575486
塞车	拥挤	0.5850711
面	首	0.308645
冷僻	晦涩	0.7277021
免费	便宜	0.5697101
发票	账单	0.5951340
回收站	垃圾篓	OOV
典型	代表	0.41063848
必须	必需	OOV
出神	发楞	OOV
琢磨	镂刻	0.36657738
身姿	身手	0.73121045
质量	重量	0.72717282
事变	后院起火	0.56717133
大小	多少	OOV
信物	证件	0.47380170
牺牲	粉身碎骨	0.6170736
豆蔻年华	黄金时代	0.5296145
血液	红细胞	0.7335029
硅谷	中关村	0.4897637
天赋	技能	0.6069522
酷	爽	0.5528401
旅客	驴友	0.5919879
隆重	重要	OOV
候选人	备胎	0.32158514
平凡	平庸	0.53484220
了不得	好	OOV
鸣谢	酬答	0.353697
线路	行程	0.31752369
多角度	多元化	0.6492674
要面子	虚荣心	OOV
许可证	执照	0.74450538
是非	方圆	0.1889008
崛起	凸起	0.16759579
工作日	开放日	0.5378516
大	高	OOV
吸引力	地磁力	OOV
右翼	左派	0.70011539
和谐	平安	0.23975287
商标	符号	0.51511651
违纪	贪污	0.6738085
环境	生态	0.74768155
实践	进行	OOV
买卖	营销	0.42073022
合理	合理性	OOV
辛勤	夜以继日	0.6869651
手续	过程	0.39144638
渣	废品	0.4759811
高峰	山巅	0.3356839
收费	缴纳	0.5518218
享受	大快朵颐	0.5604295
怯懦	胆小鬼	0.6011995
杂事	闲事	0.6536539
言语	语言	0.51814068
借口	理由	0.73029803
与	以及	OOV
怯弱	狗熊	0.61710061
惠顾	照顾	0.5887440
迷人	气质	0.724776
果粉	米粉	0.5611097
榜样	样子	0.4492340
愚钝	大智若愚	0.7583484
打假	扫黄	0.6243309
均衡	全面	OOV
制约	收敛	0.31993500
经营者	纳税人	0.51188073
瘦弱	苗条	0.7283730
前途	道路	0.25522672
遛弯	走路	OOV
爱心	慈善	0.6923740
光盘	硬盘	0.68305048
一体化	集成化	0.7256284
销魂	陶醉	0.75757994
光荣	流芳百世	0.54664223
观后感	影评	0.6245549
恼怒	愤慨	0.69684389
帮助	赞助	OOV
拥戴	崇拜	0.38189645
扯淡	闲聊	0.61767980
旅程	旅行	0.7581878
男孩	小伙子	0.6650369
见解	意见	0.6589651
穷苦	贫穷	0.89364025
生命	性命	0.539359
滚蛋	滚开	0.5129279
维他命	维生素	0.83041636
多元化	年轻化	0.58052621
宝贵	金子	0.47898876
结构	系统	0.6369500
玩偶	工具	0.47846799
丧失	失独	0.49536377
肚量	肚子	0.50730769
娇气	公主	0.30328562
寒暑假	黄金周	0.7782391
笑料	活宝	0.4326422
百货	商场	0.8707877
信息化	智能化	0.671179
茶道	茶叶	0.3938826
罪孽	犯人	0.54616815
感冒药	退烧药	0.91429167
难点	问题	OOV
同事	朋友	0.76715230
名字	姓氏	0.7691622
网站	网页	0.8417945
名誉	名气	0.3523216
七情六欲	欲望	0.71055382
审理	问讯	0.51636639
工具	器具	0.70407380
意思	意义	OOV
优惠	降价	0.48410589
伴随	陪伴	0.33940219
尘垢	污秽	0.70525815
猫腻	阴谋诡计	0.43417101
吃醋	争风吃醋	0.8567067
软着陆	经济	0.4116618
生产力	创新	0.62923561
上市	盈利	0.6399830
泼妇	女强人	0.6197850
载体	书本	0.4315490
地址	小区	0.51803848
价钱	票房	0.50700251
表彰	进步	OOV
理论	结论	0.7253809
烦闷	失眠	0.6842111
亲人	敌人	0.38028268
跳槽	移动	OOV
饮酒	喝茶	0.6172303
财运	桃花运	0.6397151
女权	女性	0.36866299
一般	差	OOV
赌局	扑克牌	0.53536682
宋	明	0.5505180
雾霾	阴天	OOV
程序	指令	0.6077809
关键字	关键	0.38726672
松驰	疲软	0.6276839
平等	平均	0.2051822
经营	张罗	0.5003495
客套	礼貌	0.6634572
利用	使用	OOV
审查	自纠自查	OOV
炖	焖	0.81423455
喜欢	崇敬	0.4930249
暗号	密码	0.6982447
规律	原理	0.67153205
轻率	鲁莽	0.7382392
手法	方法	0.6270191
准则	规则	0.7980470
迂腐	墨守成规	0.83091376
闯祸	惹是生非	0.8366003
清晰	一清二楚	0.5355244
姐妹	闺蜜	0.46234858
扎实	脚踏实地	0.5579947
事物	东西	0.45204830
睡	寐	0.7341313
忌妒	妒嫉	0.85701746
俱乐部	富人	0.33897961
味道	鼻子	0.43045415
绩点	老师	0.30696743
关心	放任	0.5269594
空间	世界	0.43584451
僻静	冷静	0.37996602
字符	程序	0.5268231
裁判	足球	0.50714176
股票	银行	0.7478411
红颜	面容	0.4930004
著名	著作	0.44845991
可能性	可靠性	0.6002106
占有	争取	OOV
合肥	巴黎	0.3399684
热线	焦点	0.2944074
影响力	破坏力	0.4688982
温度	湿度	0.7714782
痛苦	忍辱负重	0.73681414
偶遇	艳遇	0.6299173
公众	媒体	0.65277553
姑娘	青春	0.5252978
多媒体	设备	0.5877279
韩	日	0.20850737
钱	利	0.21627496
细心	三心二意	0.4633986
博物馆	剧院	0.5942902
诵读	歌唱	0.35862610
阳光	雨露	0.4943203
竞争	考试	0.39731585
消灭	灭菌	0.4128662
饭局	交际	0.35770186
媚俗	高雅	0.58265207
密码	账号	0.48394676
夫人	孩子	0.49897908
简化	优化	0.6801609
侵害	性侵	0.67561980
故事	剧情	0.8101622
调整	整合	0.5824777
亲密	缠绵	0.4881320
创新	发明	0.40235752
带头	敢为人先	0.4463840
公约	规章	0.64952025
高大上	超凡脱俗	OOV
解闷	排遣	0.76566183
放肆	大胆	0.62297299
合同	协议	0.74113395
私语	嘀咕	0.5849630
大概	差不多	OOV
比如	譬如	OOV
友善	清新	0.50233455
胆小鬼	兔子	0.4618791
繁荣	泡沫	0.4458968
智力	想象	0.56854078
茶馆	企业	0.3425299
消极	四大皆空	0.5089242
